[2023-12-21 06:58:15,994][INFO] 
===== FNN_small-0.3-50-small-2023-12-21-06-58-15 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_small
  no_repair: False
  repair_number: 50
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.3
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cbaad8790>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 50
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5cbaad8e50>
===== end of FNN_small-0.3-50-small-2023-12-21-06-58-15 configuration =====

[2023-12-21 06:58:15,994][INFO] ===== start repair ======
[2023-12-21 06:58:15,994][INFO] For pgd attack net
[2023-12-21 06:58:16,102][INFO] --big patch network: --- PatchNet ---
Name: small patch network 49
--- End of PatchNet ---
[2023-12-21 06:58:16,290][INFO] --load the trainset and testset as testing set
[2023-12-21 06:58:16,306][INFO] --evaluate the original net on testset
[2023-12-21 06:58:16,307][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 06:58:16,307][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 06:58:16,345][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 06:58:17,098][INFO] --epoch 115 loss 2.272647500038147
[2023-12-21 06:58:17,105][INFO] --epoch 116 loss 2.271578073501587
[2023-12-21 06:58:17,112][INFO] --epoch 117 loss 2.271614193916321
[2023-12-21 06:58:17,118][INFO] --epoch 118 loss 2.272594690322876
[2023-12-21 06:58:17,124][INFO] --epoch 119 loss 2.2736209630966187
[2023-12-21 06:58:17,131][INFO] --epoch 120 loss 2.2729058265686035
[2023-12-21 06:58:17,137][INFO] --epoch 121 loss 2.272904396057129
[2023-12-21 06:58:17,144][INFO] --epoch 122 loss 2.272177219390869
[2023-12-21 06:58:17,150][INFO] --epoch 123 loss 2.272071361541748
[2023-12-21 06:58:17,156][INFO] --epoch 124 loss 2.2725982666015625
[2023-12-21 06:58:17,162][INFO] --epoch 125 loss 2.272343635559082
[2023-12-21 06:58:17,168][INFO] --epoch 126 loss 2.2726120948791504
[2023-12-21 06:58:17,175][INFO] --epoch 127 loss 2.2717738151550293
[2023-12-21 06:58:17,181][INFO] --epoch 128 loss 2.272454261779785
[2023-12-21 06:58:17,187][INFO] --epoch 129 loss 2.271942615509033
[2023-12-21 06:58:17,193][INFO] --epoch 130 loss 2.2722513675689697
[2023-12-21 06:58:17,199][INFO] --epoch 131 loss 2.271550178527832
[2023-12-21 06:58:17,206][INFO] --epoch 132 loss 2.2718268632888794
[2023-12-21 06:58:17,212][INFO] --epoch 133 loss 2.2714422941207886
[2023-12-21 06:58:17,218][INFO] --epoch 134 loss 2.2715752124786377
[2023-12-21 06:58:17,224][INFO] --epoch 135 loss 2.271548271179199
[2023-12-21 06:58:17,231][INFO] --epoch 136 loss 2.271329641342163
[2023-12-21 06:58:17,237][INFO] --epoch 137 loss 2.2715401649475098
[2023-12-21 06:58:17,243][INFO] --epoch 138 loss 2.2715280055999756
[2023-12-21 06:58:17,250][INFO] --epoch 139 loss 2.2714675664901733
[2023-12-21 06:58:17,256][INFO] --epoch 140 loss 2.271322250366211
[2023-12-21 06:58:17,262][INFO] --epoch 141 loss 2.2713682651519775
[2023-12-21 06:58:17,268][INFO] --epoch 142 loss 2.271339178085327
[2023-12-21 06:58:17,275][INFO] --epoch 143 loss 2.2713512182235718
[2023-12-21 06:58:17,281][INFO] --epoch 144 loss 2.271208167076111
[2023-12-21 06:58:17,288][INFO] --epoch 145 loss 2.271223783493042
[2023-12-21 06:58:17,294][INFO] --epoch 146 loss 2.271194577217102
[2023-12-21 06:58:17,300][INFO] --epoch 147 loss 2.271170973777771
[2023-12-21 06:58:17,306][INFO] --epoch 148 loss 2.2711894512176514
[2023-12-21 06:58:17,312][INFO] --epoch 149 loss 2.271175503730774
[2023-12-21 06:58:17,318][INFO] --epoch 150 loss 2.2711721658706665
[2023-12-21 06:58:17,325][INFO] --epoch 151 loss 2.2711747884750366
[2023-12-21 06:58:17,331][INFO] --epoch 152 loss 2.2711758613586426
[2023-12-21 06:58:17,338][INFO] --epoch 153 loss 2.271209239959717
[2023-12-21 06:58:17,344][INFO] --epoch 154 loss 2.271210551261902
[2023-12-21 06:58:17,350][INFO] --epoch 155 loss 2.2712053060531616
[2023-12-21 06:58:17,357][INFO] --epoch 156 loss 2.2712035179138184
[2023-12-21 06:58:17,363][INFO] --epoch 157 loss 2.271331310272217
[2023-12-21 06:58:17,370][INFO] --epoch 158 loss 2.2713780403137207
[2023-12-21 06:58:17,376][INFO] --epoch 159 loss 2.271298885345459
[2023-12-21 06:58:17,382][INFO] --epoch 160 loss 2.271679639816284
[2023-12-21 06:58:17,389][INFO] --epoch 161 loss 2.271173357963562
[2023-12-21 06:58:17,395][INFO] --epoch 162 loss 2.2714579105377197
[2023-12-21 06:58:17,401][INFO] --epoch 163 loss 2.27139675617218
[2023-12-21 06:58:17,407][INFO] --epoch 164 loss 2.271474242210388
[2023-12-21 06:58:17,413][INFO] --epoch 165 loss 2.2716857194900513
[2023-12-21 06:58:17,420][INFO] --epoch 166 loss 2.271538257598877
[2023-12-21 06:58:17,426][INFO] --epoch 167 loss 2.2716912031173706
[2023-12-21 06:58:17,432][INFO] --epoch 168 loss 2.2711631059646606
[2023-12-21 06:58:17,439][INFO] --epoch 169 loss 2.27218496799469
[2023-12-21 06:58:17,445][INFO] --epoch 170 loss 2.271809220314026
[2023-12-21 06:58:17,452][INFO] --epoch 171 loss 2.27193284034729
[2023-12-21 06:58:17,458][INFO] --epoch 172 loss 2.273426055908203
[2023-12-21 06:58:17,465][INFO] --epoch 173 loss 2.273146867752075
[2023-12-21 06:58:17,471][INFO] --epoch 174 loss 2.272352457046509
[2023-12-21 06:58:17,477][INFO] --epoch 175 loss 2.2721667289733887
[2023-12-21 06:58:17,483][INFO] --epoch 176 loss 2.272661328315735
[2023-12-21 06:58:17,490][INFO] --epoch 177 loss 2.2709102630615234
[2023-12-21 06:58:17,496][INFO] --epoch 178 loss 2.273568868637085
[2023-12-21 06:58:17,502][INFO] --epoch 179 loss 2.2728770971298218
[2023-12-21 06:58:17,508][INFO] --epoch 180 loss 2.2747479677200317
[2023-12-21 06:58:17,515][INFO] --epoch 181 loss 2.2732149362564087
[2023-12-21 06:58:17,521][INFO] --epoch 182 loss 2.2736896276474
[2023-12-21 06:58:17,528][INFO] --epoch 183 loss 2.272378444671631
[2023-12-21 06:58:17,534][INFO] --epoch 184 loss 2.2737600803375244
[2023-12-21 06:58:17,540][INFO] --epoch 185 loss 2.272958755493164
[2023-12-21 06:58:17,547][INFO] --epoch 186 loss 2.273747205734253
[2023-12-21 06:58:17,553][INFO] --epoch 187 loss 2.2724857330322266
[2023-12-21 06:58:17,559][INFO] --epoch 188 loss 2.2743500471115112
[2023-12-21 06:58:17,566][INFO] --epoch 189 loss 2.2735708951950073
[2023-12-21 06:58:17,572][INFO] --epoch 190 loss 2.272355079650879
[2023-12-21 06:58:17,579][INFO] --epoch 191 loss 2.273775577545166
[2023-12-21 06:58:17,585][INFO] --epoch 192 loss 2.274881601333618
[2023-12-21 06:58:17,591][INFO] --epoch 193 loss 2.273744225502014
[2023-12-21 06:58:17,598][INFO] --epoch 194 loss 2.2721835374832153
[2023-12-21 06:58:17,604][INFO] --epoch 195 loss 2.2756608724594116
[2023-12-21 06:58:17,610][INFO] --epoch 196 loss 2.271593451499939
[2023-12-21 06:58:17,616][INFO] --epoch 197 loss 2.271865963935852
[2023-12-21 06:58:17,622][INFO] --epoch 198 loss 2.2725785970687866
[2023-12-21 06:58:17,629][INFO] --epoch 199 loss 2.274897336959839
[2023-12-21 06:58:17,629][INFO] --adv training finished
[2023-12-21 06:58:17,667][INFO] --evaluate the adv training net on testset
[2023-12-21 06:58:17,667][INFO] --For testset, out of 10000 items, ratio 0.1928
[2023-12-21 06:58:17,667][INFO] --test the defense against autoattack
[2023-12-21 06:58:18,002][INFO] correct1 0
[2023-12-21 06:58:18,371][INFO] correct2 29
[2023-12-21 06:58:18,681][INFO] correct3 0
[2023-12-21 06:58:19,490][INFO] correct1 0
[2023-12-21 06:58:19,841][INFO] correct2 27
[2023-12-21 06:58:20,159][INFO] correct3 0
[2023-12-21 06:58:20,513][INFO] correct1 0
[2023-12-21 06:58:20,884][INFO] correct2 31
[2023-12-21 06:58:21,204][INFO] correct3 0
[2023-12-21 06:58:21,601][INFO] correct1 0
[2023-12-21 06:58:21,972][INFO] correct2 27
[2023-12-21 06:58:22,289][INFO] correct3 0
[2023-12-21 06:58:22,635][INFO] correct1 0
[2023-12-21 06:58:23,002][INFO] correct2 24
[2023-12-21 06:58:23,312][INFO] correct3 0
[2023-12-21 06:58:23,650][INFO] correct1 0
[2023-12-21 06:58:24,024][INFO] correct2 30
[2023-12-21 06:58:24,329][INFO] correct3 0
[2023-12-21 06:58:25,192][INFO] correct1 0
[2023-12-21 06:58:25,573][INFO] correct2 28
[2023-12-21 06:58:25,893][INFO] correct3 0
[2023-12-21 06:58:26,257][INFO] correct1 0
[2023-12-21 06:58:26,643][INFO] correct2 28
[2023-12-21 06:58:26,976][INFO] correct3 0
[2023-12-21 06:58:27,328][INFO] correct1 0
[2023-12-21 06:58:27,715][INFO] correct2 26
[2023-12-21 06:58:28,054][INFO] correct3 0
[2023-12-21 06:58:28,424][INFO] correct1 0
[2023-12-21 06:58:28,731][INFO] correct2 27
[2023-12-21 06:58:29,050][INFO] correct3 0
[2023-12-21 06:58:29,393][INFO] correct1 0
[2023-12-21 06:58:29,772][INFO] correct2 29
[2023-12-21 06:58:30,094][INFO] correct3 0
[2023-12-21 06:58:30,952][INFO] correct1 0
