[2023-12-21 01:47:59,517][INFO] 
===== FNN_small-0.05-500-small-2023-12-21-01-47-59 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_small
  no_repair: False
  repair_number: 500
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.05
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cbaad8790>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 500
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5cbaad8ca0>
===== end of FNN_small-0.05-500-small-2023-12-21-01-47-59 configuration =====

[2023-12-21 01:47:59,517][INFO] ===== start repair ======
[2023-12-21 01:47:59,517][INFO] For pgd attack net
[2023-12-21 01:48:00,728][INFO] --big patch network: --- PatchNet ---
Name: small patch network 499
--- End of PatchNet ---
[2023-12-21 01:48:02,406][INFO] --load the trainset and testset as testing set
[2023-12-21 01:48:02,422][INFO] --evaluate the original net on testset
[2023-12-21 01:48:02,423][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 01:48:02,423][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 01:48:02,882][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 01:48:10,772][INFO] --epoch 132 loss 0.009691291127819569
[2023-12-21 01:48:10,832][INFO] --epoch 133 loss 0.009903034206945448
[2023-12-21 01:48:10,891][INFO] --epoch 134 loss 0.009531426231842489
[2023-12-21 01:48:10,952][INFO] --epoch 135 loss 0.008955740323290228
[2023-12-21 01:48:11,012][INFO] --epoch 136 loss 0.00880283782025799
[2023-12-21 01:48:11,073][INFO] --epoch 137 loss 0.008598667429760098
[2023-12-21 01:48:11,133][INFO] --epoch 138 loss 0.007977439946262165
[2023-12-21 01:48:11,192][INFO] --epoch 139 loss 0.0076755648828111585
[2023-12-21 01:48:11,253][INFO] --epoch 140 loss 0.007520524482242763
[2023-12-21 01:48:11,312][INFO] --epoch 141 loss 0.007562536175828427
[2023-12-21 01:48:11,372][INFO] --epoch 142 loss 0.007484100991860032
[2023-12-21 01:48:11,433][INFO] --epoch 143 loss 0.007557584822643548
[2023-12-21 01:48:11,494][INFO] --epoch 144 loss 0.007619457645341754
[2023-12-21 01:48:11,553][INFO] --epoch 145 loss 0.007545556512195617
[2023-12-21 01:48:11,613][INFO] --epoch 146 loss 0.0074660539161413905
[2023-12-21 01:48:11,673][INFO] --epoch 147 loss 0.007429848780157044
[2023-12-21 01:48:11,733][INFO] --epoch 148 loss 0.00743127177702263
[2023-12-21 01:48:11,792][INFO] --epoch 149 loss 0.007427109905984252
[2023-12-21 01:48:11,854][INFO] --epoch 150 loss 0.007425749546382576
[2023-12-21 01:48:11,915][INFO] --epoch 151 loss 0.007425995351513848
[2023-12-21 01:48:11,975][INFO] --epoch 152 loss 0.007419733330607414
[2023-12-21 01:48:12,035][INFO] --epoch 153 loss 0.007411304826382548
[2023-12-21 01:48:12,095][INFO] --epoch 154 loss 0.0073792918468825516
[2023-12-21 01:48:12,153][INFO] --epoch 155 loss 0.007386639341711998
