[2023-12-21 13:35:41,373][INFO] 
===== FNN_big-0.1-100-small-2023-12-21-13-35-41 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_big
  no_repair: False
  repair_number: 100
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.1
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5c64613040>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 100
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5c64613790>
===== end of FNN_big-0.1-100-small-2023-12-21-13-35-41 configuration =====

[2023-12-21 13:35:41,373][INFO] ===== start repair ======
[2023-12-21 13:35:41,373][INFO] For pgd attack net
[2023-12-21 13:35:41,597][INFO] --big patch network: --- PatchNet ---
Name: small patch network 99
--- End of PatchNet ---
[2023-12-21 13:35:41,857][INFO] --load the trainset and testset as testing set
[2023-12-21 13:35:41,864][INFO] --evaluate the original net on testset
[2023-12-21 13:35:41,866][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 13:35:41,866][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 13:35:41,946][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 13:35:43,914][INFO] --epoch 138 loss 0.19552171602845192
[2023-12-21 13:35:43,930][INFO] --epoch 139 loss 0.16653878800570965
[2023-12-21 13:35:43,945][INFO] --epoch 140 loss 0.16374919191002846
[2023-12-21 13:35:43,960][INFO] --epoch 141 loss 0.16216225177049637
[2023-12-21 13:35:43,974][INFO] --epoch 142 loss 0.1570398136973381
[2023-12-21 13:35:43,987][INFO] --epoch 143 loss 0.15085895918309689
[2023-12-21 13:35:44,000][INFO] --epoch 144 loss 0.15146157331764698
[2023-12-21 13:35:44,013][INFO] --epoch 145 loss 0.15061351470649242
[2023-12-21 13:35:44,026][INFO] --epoch 146 loss 0.15016468800604343
[2023-12-21 13:35:44,041][INFO] --epoch 147 loss 0.149031275883317
[2023-12-21 13:35:44,056][INFO] --epoch 148 loss 0.14829661138355732
[2023-12-21 13:35:44,070][INFO] --epoch 149 loss 0.14760049432516098
[2023-12-21 13:35:44,085][INFO] --epoch 150 loss 0.14758330397307873
[2023-12-21 13:35:44,100][INFO] --epoch 151 loss 0.14758530259132385
[2023-12-21 13:35:44,114][INFO] --epoch 152 loss 0.14780141226947308
[2023-12-21 13:35:44,128][INFO] --epoch 153 loss 0.1475445218384266
[2023-12-21 13:35:44,141][INFO] --epoch 154 loss 0.14750025980174541
[2023-12-21 13:35:44,155][INFO] --epoch 155 loss 0.14952572621405125
[2023-12-21 13:35:44,169][INFO] --epoch 156 loss 0.14885934256017208
[2023-12-21 13:35:44,182][INFO] --epoch 157 loss 0.149341044947505
[2023-12-21 13:35:44,196][INFO] --epoch 158 loss 0.15147173963487148
[2023-12-21 13:35:44,213][INFO] --epoch 159 loss 0.14579012989997864
[2023-12-21 13:35:44,227][INFO] --epoch 160 loss 0.14836734160780907
[2023-12-21 13:35:44,240][INFO] --epoch 161 loss 0.14373663812875748
[2023-12-21 13:35:44,254][INFO] --epoch 162 loss 0.14587411656975746
[2023-12-21 13:35:44,268][INFO] --epoch 163 loss 0.14696753397583961
[2023-12-21 13:35:44,281][INFO] --epoch 164 loss 0.13857262767851353
[2023-12-21 13:35:44,297][INFO] --epoch 165 loss 0.1539232563227415
[2023-12-21 13:35:44,312][INFO] --epoch 166 loss 0.16473359614610672
[2023-12-21 13:35:44,332][INFO] --epoch 167 loss 0.16998007148504257
[2023-12-21 13:35:44,348][INFO] --epoch 168 loss 0.18174921534955502
[2023-12-21 13:35:44,362][INFO] --epoch 169 loss 0.16208823397755623
[2023-12-21 13:35:44,376][INFO] --epoch 170 loss 0.3729115314781666
[2023-12-21 13:35:44,390][INFO] --epoch 171 loss 0.33379706740379333
[2023-12-21 13:35:44,405][INFO] --epoch 172 loss 0.2204331774264574
[2023-12-21 13:35:44,420][INFO] --epoch 173 loss 1.2070167511701584
[2023-12-21 13:35:44,439][INFO] --epoch 174 loss 0.4834598898887634
[2023-12-21 13:35:44,459][INFO] --epoch 175 loss 0.5096826553344727
[2023-12-21 13:35:44,478][INFO] --epoch 176 loss 0.3504764921963215
[2023-12-21 13:35:44,492][INFO] --epoch 177 loss 0.22944796085357666
[2023-12-21 13:35:44,509][INFO] --epoch 178 loss 0.2127359863370657
[2023-12-21 13:35:44,523][INFO] --epoch 179 loss 1.107726201415062
[2023-12-21 13:35:44,538][INFO] --epoch 180 loss 1.0254454463720322
[2023-12-21 13:35:44,552][INFO] --epoch 181 loss 0.45001085102558136
[2023-12-21 13:35:44,565][INFO] --epoch 182 loss 0.3090665861964226
[2023-12-21 13:35:44,578][INFO] --epoch 183 loss 0.2504604160785675
[2023-12-21 13:35:44,589][INFO] --epoch 184 loss 0.6120672523975372
[2023-12-21 13:35:44,602][INFO] --epoch 185 loss 1.2776576280593872
[2023-12-21 13:35:44,614][INFO] --epoch 186 loss 0.6163405925035477
[2023-12-21 13:35:44,627][INFO] --epoch 187 loss 1.1654449999332428
[2023-12-21 13:35:44,640][INFO] --epoch 188 loss 0.6409081816673279
[2023-12-21 13:35:44,653][INFO] --epoch 189 loss 0.38303934782743454
[2023-12-21 13:35:44,666][INFO] --epoch 190 loss 0.683404840528965
[2023-12-21 13:35:44,679][INFO] --epoch 191 loss 0.4336197152733803
[2023-12-21 13:35:44,692][INFO] --epoch 192 loss 0.39822448045015335
[2023-12-21 13:35:44,704][INFO] --epoch 193 loss 0.23850400373339653
[2023-12-21 13:35:44,718][INFO] --epoch 194 loss 0.23226042464375496
[2023-12-21 13:35:44,731][INFO] --epoch 195 loss 0.3697192594408989
[2023-12-21 13:35:44,745][INFO] --epoch 196 loss 2.210404723882675
[2023-12-21 13:35:44,759][INFO] --epoch 197 loss 1.0417246222496033
[2023-12-21 13:35:44,773][INFO] --epoch 198 loss 0.5878750756382942
[2023-12-21 13:35:44,787][INFO] --epoch 199 loss 0.4518607147037983
[2023-12-21 13:35:44,787][INFO] --adv training finished
[2023-12-21 13:35:44,807][INFO] --evaluate the adv training net on testset
[2023-12-21 13:35:44,808][INFO] --For testset, out of 10000 items, ratio 0.7732
[2023-12-21 13:35:44,808][INFO] --test the defense against autoattack
[2023-12-21 13:35:48,457][INFO] correct1 5
[2023-12-21 13:35:48,819][INFO] correct2 32
[2023-12-21 13:35:49,080][INFO] correct3 0
[2023-12-21 13:35:52,440][INFO] correct1 4
[2023-12-21 13:35:53,861][INFO] correct2 31
[2023-12-21 13:35:55,227][INFO] correct3 0
[2023-12-21 13:35:58,716][INFO] correct1 9
[2023-12-21 13:35:59,775][INFO] correct2 32
[2023-12-21 13:36:00,029][INFO] correct3 0
[2023-12-21 13:36:03,457][INFO] correct1 4
[2023-12-21 13:36:03,800][INFO] correct2 30
[2023-12-21 13:36:04,077][INFO] correct3 0
[2023-12-21 13:36:07,500][INFO] correct1 4
[2023-12-21 13:36:08,219][INFO] correct2 31
[2023-12-21 13:36:09,260][INFO] correct3 0
[2023-12-21 13:36:12,805][INFO] correct1 5
[2023-12-21 13:36:14,696][INFO] correct2 32
[2023-12-21 13:36:16,449][INFO] correct3 0
[2023-12-21 13:36:19,927][INFO] correct1 5
[2023-12-21 13:36:21,001][INFO] correct2 31
[2023-12-21 13:36:22,037][INFO] correct3 0
[2023-12-21 13:36:25,306][INFO] correct1 2
[2023-12-21 13:36:25,653][INFO] correct2 30
[2023-12-21 13:36:25,903][INFO] correct3 0
[2023-12-21 13:36:29,501][INFO] correct1 5
[2023-12-21 13:36:30,313][INFO] correct2 30
[2023-12-21 13:36:30,980][INFO] correct3 0
[2023-12-21 13:36:34,398][INFO] correct1 5
[2023-12-21 13:36:36,923][INFO] correct2 31
[2023-12-21 13:36:39,327][INFO] correct3 0
[2023-12-21 13:36:42,664][INFO] correct1 6
[2023-12-21 13:36:43,010][INFO] correct2 31
[2023-12-21 13:36:43,260][INFO] correct3 0
[2023-12-21 13:36:46,668][INFO] correct1 3
[2023-12-21 13:36:47,399][INFO] correct2 31
[2023-12-21 13:36:48,046][INFO] correct3 0
[2023-12-21 13:36:51,486][INFO] correct1 8
[2023-12-21 13:36:52,216][INFO] correct2 31
[2023-12-21 13:36:52,854][INFO] correct3 0
[2023-12-21 13:36:56,481][INFO] correct1 6
[2023-12-21 13:36:56,843][INFO] correct2 31
[2023-12-21 13:36:57,105][INFO] correct3 0
[2023-12-21 13:37:00,562][INFO] correct1 4
[2023-12-21 13:37:03,010][INFO] correct2 30
[2023-12-21 13:37:05,415][INFO] correct3 0
[2023-12-21 13:37:08,969][INFO] correct1 3
[2023-12-21 13:37:12,538][INFO] correct2 31
[2023-12-21 13:37:15,866][INFO] correct3 1
[2023-12-21 13:37:19,233][INFO] correct1 3
[2023-12-21 13:37:20,329][INFO] correct2 32
[2023-12-21 13:37:21,432][INFO] correct3 0
[2023-12-21 13:37:24,825][INFO] correct1 4
[2023-12-21 13:37:25,570][INFO] correct2 32
[2023-12-21 13:37:26,284][INFO] correct3 0
[2023-12-21 13:37:29,623][INFO] correct1 4
[2023-12-21 13:37:30,359][INFO] correct2 30
[2023-12-21 13:37:30,997][INFO] correct3 0
[2023-12-21 13:37:34,203][INFO] correct1 2
[2023-12-21 13:37:34,945][INFO] correct2 30
[2023-12-21 13:37:35,598][INFO] correct3 0
[2023-12-21 13:37:39,469][INFO] correct1 7
[2023-12-21 13:37:43,841][INFO] correct2 30
[2023-12-21 13:37:48,055][INFO] correct3 1
[2023-12-21 13:37:52,163][INFO] correct1 5
[2023-12-21 13:37:52,660][INFO] correct2 31
[2023-12-21 13:37:52,995][INFO] correct3 0
[2023-12-21 13:37:57,248][INFO] correct1 4
[2023-12-21 13:37:58,553][INFO] correct2 29
[2023-12-21 13:37:59,801][INFO] correct3 0
[2023-12-21 13:38:04,082][INFO] correct1 3
[2023-12-21 13:38:04,541][INFO] correct2 31
[2023-12-21 13:38:04,873][INFO] correct3 0
[2023-12-21 13:38:09,566][INFO] correct1 5
[2023-12-21 13:38:11,812][INFO] correct2 32
[2023-12-21 13:38:13,804][INFO] correct3 0
[2023-12-21 13:38:18,233][INFO] correct1 6
[2023-12-21 13:38:19,994][INFO] correct2 32
[2023-12-21 13:38:21,592][INFO] correct3 0
[2023-12-21 13:38:25,815][INFO] correct1 4
[2023-12-21 13:38:26,744][INFO] correct2 31
[2023-12-21 13:38:27,591][INFO] correct3 0
[2023-12-21 13:38:32,113][INFO] correct1 5
[2023-12-21 13:38:33,379][INFO] correct2 30
[2023-12-21 13:38:34,716][INFO] correct3 0
[2023-12-21 13:38:38,281][INFO] correct1 5
[2023-12-21 13:38:39,037][INFO] correct2 30
[2023-12-21 13:38:39,676][INFO] correct3 0
[2023-12-21 13:38:43,264][INFO] correct1 4
[2023-12-21 13:38:46,719][INFO] correct2 29
[2023-12-21 13:38:50,061][INFO] correct3 1
[2023-12-21 13:38:53,417][INFO] correct1 6
[2023-12-21 13:38:54,138][INFO] correct2 31
[2023-12-21 13:38:54,765][INFO] correct3 0
[2023-12-21 13:38:58,112][INFO] correct1 5
[2023-12-21 13:39:01,683][INFO] correct2 31
[2023-12-21 13:39:05,107][INFO] correct3 1
[2023-12-21 13:39:08,640][INFO] correct1 5
[2023-12-21 13:39:09,794][INFO] correct2 30
[2023-12-21 13:39:10,775][INFO] correct3 0
[2023-12-21 13:39:14,190][INFO] correct1 5
[2023-12-21 13:39:14,525][INFO] correct2 32
[2023-12-21 13:39:14,768][INFO] correct3 0
[2023-12-21 13:39:18,088][INFO] correct1 2
[2023-12-21 13:39:21,679][INFO] correct2 31
[2023-12-21 13:39:25,218][INFO] correct3 1
[2023-12-21 13:39:28,602][INFO] correct1 2
[2023-12-21 13:39:28,969][INFO] correct2 31
[2023-12-21 13:39:29,235][INFO] correct3 0
[2023-12-21 13:39:32,664][INFO] correct1 7
[2023-12-21 13:39:33,008][INFO] correct2 30
[2023-12-21 13:39:33,263][INFO] correct3 0
[2023-12-21 13:39:36,599][INFO] correct1 5
[2023-12-21 13:39:37,357][INFO] correct2 32
