[2023-12-21 10:52:05,805][INFO] 
===== FNN_big-0.05-500-small-2023-12-21-10-52-05 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_big
  no_repair: False
  repair_number: 500
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.05
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5c6a9823a0>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 500
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5c6a982dc0>
===== end of FNN_big-0.05-500-small-2023-12-21-10-52-05 configuration =====

[2023-12-21 10:52:05,805][INFO] ===== start repair ======
[2023-12-21 10:52:05,805][INFO] For pgd attack net
[2023-12-21 10:52:06,841][INFO] --big patch network: --- PatchNet ---
Name: small patch network 499
--- End of PatchNet ---
[2023-12-21 10:52:08,070][INFO] --load the trainset and testset as testing set
[2023-12-21 10:52:08,076][INFO] --evaluate the original net on testset
[2023-12-21 10:52:08,078][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 10:52:08,078][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 10:52:08,460][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 10:52:15,281][INFO] --epoch 102 loss 0.13932054275646805
[2023-12-21 10:52:15,342][INFO] --epoch 103 loss 0.0845165155827999
[2023-12-21 10:52:15,402][INFO] --epoch 104 loss 0.040413193963468076
[2023-12-21 10:52:15,462][INFO] --epoch 105 loss 0.03554806495085359
[2023-12-21 10:52:15,523][INFO] --epoch 106 loss 0.13386944625526667
[2023-12-21 10:52:15,581][INFO] --epoch 107 loss 0.02699116664007306
[2023-12-21 10:52:15,644][INFO] --epoch 108 loss 0.20396471130661667
[2023-12-21 10:52:15,705][INFO] --epoch 109 loss 0.02458954693283886
[2023-12-21 10:52:15,767][INFO] --epoch 110 loss 0.01384227923117578
[2023-12-21 10:52:15,831][INFO] --epoch 111 loss 0.012679412146098912
[2023-12-21 10:52:15,893][INFO] --epoch 112 loss 0.018955113599076867
[2023-12-21 10:52:15,955][INFO] --epoch 113 loss 0.018545887968502938
[2023-12-21 10:52:16,016][INFO] --epoch 114 loss 0.01720736623974517
[2023-12-21 10:52:16,078][INFO] --epoch 115 loss 0.023500632622744887
[2023-12-21 10:52:16,138][INFO] --epoch 116 loss 0.01275908361421898
[2023-12-21 10:52:16,198][INFO] --epoch 117 loss 0.011033370881341398
[2023-12-21 10:52:16,257][INFO] --epoch 118 loss 0.00803222683025524
[2023-12-21 10:52:16,318][INFO] --epoch 119 loss 0.010112916002981365
[2023-12-21 10:52:16,379][INFO] --epoch 120 loss 0.009911315981298685
[2023-12-21 10:52:16,439][INFO] --epoch 121 loss 0.006212145218160004
[2023-12-21 10:52:16,500][INFO] --epoch 122 loss 0.006776741042267531
[2023-12-21 10:52:16,560][INFO] --epoch 123 loss 0.007122970197815448
[2023-12-21 10:52:16,622][INFO] --epoch 124 loss 0.005620793905109167
[2023-12-21 10:52:16,685][INFO] --epoch 125 loss 0.005913052143296227
[2023-12-21 10:52:16,746][INFO] --epoch 126 loss 0.0055958513519726695
[2023-12-21 10:52:16,809][INFO] --epoch 127 loss 0.0043696662411093715
[2023-12-21 10:52:16,871][INFO] --epoch 128 loss 0.0044040539069101214
[2023-12-21 10:52:16,931][INFO] --epoch 129 loss 0.0035076733387541027
[2023-12-21 10:52:16,991][INFO] --epoch 130 loss 0.004272821079939604
[2023-12-21 10:52:17,064][INFO] --epoch 131 loss 0.003091730095911771
[2023-12-21 10:52:17,140][INFO] --epoch 132 loss 0.002619749982841313
[2023-12-21 10:52:17,209][INFO] --epoch 133 loss 0.002361447946168482
[2023-12-21 10:52:17,288][INFO] --epoch 134 loss 0.002452929975697771
[2023-12-21 10:52:17,372][INFO] --epoch 135 loss 0.002471591398352757
[2023-12-21 10:52:17,439][INFO] --epoch 136 loss 0.002746209630277008
[2023-12-21 10:52:17,536][INFO] --epoch 137 loss 0.002638006379129365
[2023-12-21 10:52:17,636][INFO] --epoch 138 loss 0.0028759735345374794
[2023-12-21 10:52:17,722][INFO] --epoch 139 loss 0.002761529467534274
[2023-12-21 10:52:17,809][INFO] --epoch 140 loss 0.002547140093520284
[2023-12-21 10:52:17,885][INFO] --epoch 141 loss 0.0025408399407751856
[2023-12-21 10:52:17,979][INFO] --epoch 142 loss 0.002379193069646135
[2023-12-21 10:52:18,047][INFO] --epoch 143 loss 0.002305526449345052
[2023-12-21 10:52:18,111][INFO] --epoch 144 loss 0.0022481017746031283
[2023-12-21 10:52:18,174][INFO] --epoch 145 loss 0.002227724785916507
[2023-12-21 10:52:18,237][INFO] --epoch 146 loss 0.0022083455929532646
[2023-12-21 10:52:18,303][INFO] --epoch 147 loss 0.0021792702144011857
[2023-12-21 10:52:18,367][INFO] --epoch 148 loss 0.0021780047187348827
[2023-12-21 10:52:18,430][INFO] --epoch 149 loss 0.0021787028526887298
[2023-12-21 10:52:18,504][INFO] --epoch 150 loss 0.0021790205675642936
[2023-12-21 10:52:18,575][INFO] --epoch 151 loss 0.0021773277258034796
[2023-12-21 10:52:18,637][INFO] --epoch 152 loss 0.0021740754309576005
[2023-12-21 10:52:18,701][INFO] --epoch 153 loss 0.0021679933881387113
[2023-12-21 10:52:18,765][INFO] --epoch 154 loss 0.0021647874731570483
[2023-12-21 10:52:18,827][INFO] --epoch 155 loss 0.00217430989141576
[2023-12-21 10:52:18,887][INFO] --epoch 156 loss 0.002169695496559143
[2023-12-21 10:52:18,950][INFO] --epoch 157 loss 0.0020898995513562112
[2023-12-21 10:52:19,012][INFO] --epoch 158 loss 0.0020648229110520333
[2023-12-21 10:52:19,073][INFO] --epoch 159 loss 0.002026183734415099
[2023-12-21 10:52:19,136][INFO] --epoch 160 loss 0.002089109329972416
[2023-12-21 10:52:19,201][INFO] --epoch 161 loss 0.002289214835036546
[2023-12-21 10:52:19,269][INFO] --epoch 162 loss 0.0023079817940015344
