[2023-12-21 04:46:04,732][INFO] 
===== FNN_small-0.1-100-small-2023-12-21-04-46-04 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_small
  no_repair: False
  repair_number: 100
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.1
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cbaac58b0>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 100
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5c6a96df70>
===== end of FNN_small-0.1-100-small-2023-12-21-04-46-04 configuration =====

[2023-12-21 04:46:04,732][INFO] ===== start repair ======
[2023-12-21 04:46:04,732][INFO] For pgd attack net
[2023-12-21 04:46:04,942][INFO] --big patch network: --- PatchNet ---
Name: small patch network 99
--- End of PatchNet ---
[2023-12-21 04:46:05,264][INFO] --load the trainset and testset as testing set
[2023-12-21 04:46:05,271][INFO] --evaluate the original net on testset
[2023-12-21 04:46:05,272][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 04:46:05,272][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 04:46:05,346][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 04:46:06,858][INFO] --epoch 121 loss 1.0656741708517075
[2023-12-21 04:46:06,870][INFO] --epoch 122 loss 1.1699934601783752
[2023-12-21 04:46:06,883][INFO] --epoch 123 loss 1.0780670493841171
[2023-12-21 04:46:06,895][INFO] --epoch 124 loss 1.332983821630478
[2023-12-21 04:46:06,908][INFO] --epoch 125 loss 1.0169963091611862
[2023-12-21 04:46:06,920][INFO] --epoch 126 loss 0.9248868227005005
[2023-12-21 04:46:06,933][INFO] --epoch 127 loss 0.940350741147995
[2023-12-21 04:46:06,945][INFO] --epoch 128 loss 0.9412567317485809
[2023-12-21 04:46:06,957][INFO] --epoch 129 loss 0.8262353390455246
[2023-12-21 04:46:06,970][INFO] --epoch 130 loss 0.8160458952188492
[2023-12-21 04:46:06,983][INFO] --epoch 131 loss 0.7497332096099854
[2023-12-21 04:46:06,996][INFO] --epoch 132 loss 0.7325902879238129
[2023-12-21 04:46:07,008][INFO] --epoch 133 loss 0.744748443365097
[2023-12-21 04:46:07,021][INFO] --epoch 134 loss 0.6591908484697342
[2023-12-21 04:46:07,033][INFO] --epoch 135 loss 0.6746748685836792
[2023-12-21 04:46:07,045][INFO] --epoch 136 loss 0.6209751516580582
[2023-12-21 04:46:07,057][INFO] --epoch 137 loss 0.5959127098321915
[2023-12-21 04:46:07,070][INFO] --epoch 138 loss 0.5806970074772835
[2023-12-21 04:46:07,082][INFO] --epoch 139 loss 0.5686374306678772
[2023-12-21 04:46:07,094][INFO] --epoch 140 loss 0.5596102997660637
[2023-12-21 04:46:07,106][INFO] --epoch 141 loss 0.548471488058567
[2023-12-21 04:46:07,118][INFO] --epoch 142 loss 0.5490117073059082
[2023-12-21 04:46:07,130][INFO] --epoch 143 loss 0.5376352369785309
[2023-12-21 04:46:07,143][INFO] --epoch 144 loss 0.5302879810333252
[2023-12-21 04:46:07,155][INFO] --epoch 145 loss 0.526516743004322
[2023-12-21 04:46:07,167][INFO] --epoch 146 loss 0.5193014368414879
[2023-12-21 04:46:07,180][INFO] --epoch 147 loss 0.5169816985726357
[2023-12-21 04:46:07,192][INFO] --epoch 148 loss 0.5156690925359726
[2023-12-21 04:46:07,204][INFO] --epoch 149 loss 0.5149437263607979
[2023-12-21 04:46:07,216][INFO] --epoch 150 loss 0.5147848650813103
[2023-12-21 04:46:07,229][INFO] --epoch 151 loss 0.5148490369319916
[2023-12-21 04:46:07,241][INFO] --epoch 152 loss 0.5151452943682671
[2023-12-21 04:46:07,253][INFO] --epoch 153 loss 0.516302265226841
[2023-12-21 04:46:07,265][INFO] --epoch 154 loss 0.5127981528639793
[2023-12-21 04:46:07,278][INFO] --epoch 155 loss 0.5136071518063545
[2023-12-21 04:46:07,291][INFO] --epoch 156 loss 0.5111171901226044
