[2023-12-21 07:35:38,426][INFO] 
===== FNN_big-0.05-50-small-2023-12-21-07-35-38 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_big
  no_repair: False
  repair_number: 50
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.05
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5c64613430>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 50
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5c6a96df70>
===== end of FNN_big-0.05-50-small-2023-12-21-07-35-38 configuration =====

[2023-12-21 07:35:38,426][INFO] ===== start repair ======
[2023-12-21 07:35:38,426][INFO] For pgd attack net
[2023-12-21 07:35:38,535][INFO] --big patch network: --- PatchNet ---
Name: small patch network 49
--- End of PatchNet ---
[2023-12-21 07:35:40,085][INFO] --load the trainset and testset as testing set
[2023-12-21 07:35:40,100][INFO] --evaluate the original net on testset
[2023-12-21 07:35:40,101][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 07:35:40,101][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 07:35:40,142][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 07:38:27,485][INFO] correct1 7
[2023-12-21 07:38:32,003][INFO] correct2 31
[2023-12-21 07:38:36,518][INFO] correct3 7
[2023-12-21 07:38:40,905][INFO] correct1 8
[2023-12-21 07:38:45,412][INFO] correct2 31
[2023-12-21 07:38:49,894][INFO] correct3 3
[2023-12-21 07:38:54,332][INFO] correct1 7
[2023-12-21 07:38:58,997][INFO] correct2 30
[2023-12-21 07:39:03,446][INFO] correct3 10
[2023-12-21 07:39:07,987][INFO] correct1 9
[2023-12-21 07:39:12,382][INFO] correct2 31
[2023-12-21 07:39:16,791][INFO] correct3 11
[2023-12-21 07:39:21,255][INFO] correct1 4
[2023-12-21 07:39:25,850][INFO] correct2 32
[2023-12-21 07:39:30,348][INFO] correct3 10
[2023-12-21 07:39:34,685][INFO] correct1 4
[2023-12-21 07:39:39,321][INFO] correct2 32
[2023-12-21 07:39:43,905][INFO] correct3 8
[2023-12-21 07:39:48,158][INFO] correct1 3
[2023-12-21 07:39:52,659][INFO] correct2 30
[2023-12-21 07:39:57,027][INFO] correct3 14
[2023-12-21 07:40:01,432][INFO] correct1 6
[2023-12-21 07:40:06,218][INFO] correct2 30
[2023-12-21 07:40:10,849][INFO] correct3 10
[2023-12-21 07:40:15,343][INFO] correct1 5
[2023-12-21 07:40:19,896][INFO] correct2 30
[2023-12-21 07:40:24,362][INFO] correct3 10
[2023-12-21 07:40:28,838][INFO] correct1 8
[2023-12-21 07:40:33,400][INFO] correct2 31
[2023-12-21 07:40:37,903][INFO] correct3 9
[2023-12-21 07:40:42,262][INFO] correct1 5
[2023-12-21 07:40:46,714][INFO] correct2 29
[2023-12-21 07:40:51,171][INFO] correct3 13
[2023-12-21 07:40:55,644][INFO] correct1 7
[2023-12-21 07:41:00,182][INFO] correct2 31
[2023-12-21 07:41:04,715][INFO] correct3 10
[2023-12-21 07:41:09,063][INFO] correct1 6
[2023-12-21 07:41:13,558][INFO] correct2 32
[2023-12-21 07:41:17,942][INFO] correct3 11
[2023-12-21 07:41:22,436][INFO] correct1 6
[2023-12-21 07:41:26,883][INFO] correct2 32
[2023-12-21 07:41:31,372][INFO] correct3 14
[2023-12-21 07:41:35,869][INFO] correct1 7
[2023-12-21 07:41:40,437][INFO] correct2 31
[2023-12-21 07:41:44,897][INFO] correct3 7
[2023-12-21 07:41:49,108][INFO] correct1 4
[2023-12-21 07:41:53,649][INFO] correct2 30
[2023-12-21 07:41:58,138][INFO] correct3 10
[2023-12-21 07:42:02,837][INFO] correct1 5
[2023-12-21 07:42:07,448][INFO] correct2 29
[2023-12-21 07:42:12,091][INFO] correct3 9
[2023-12-21 07:42:16,727][INFO] correct1 5
[2023-12-21 07:42:21,300][INFO] correct2 28
[2023-12-21 07:42:25,823][INFO] correct3 10
[2023-12-21 07:42:30,190][INFO] correct1 8
[2023-12-21 07:42:34,617][INFO] correct2 31
[2023-12-21 07:42:38,929][INFO] correct3 13
[2023-12-21 07:42:43,257][INFO] correct1 8
[2023-12-21 07:42:48,247][INFO] correct2 31
[2023-12-21 07:42:53,377][INFO] correct3 8
[2023-12-21 07:42:58,541][INFO] correct1 9
[2023-12-21 07:43:04,348][INFO] correct2 30
[2023-12-21 07:43:10,137][INFO] correct3 6
[2023-12-21 07:43:15,132][INFO] correct1 6
[2023-12-21 07:43:20,472][INFO] correct2 32
[2023-12-21 07:43:26,558][INFO] correct3 9
[2023-12-21 07:43:31,976][INFO] correct1 6
[2023-12-21 07:43:37,184][INFO] correct2 31
[2023-12-21 07:43:42,485][INFO] correct3 10
[2023-12-21 07:43:48,310][INFO] correct1 5
[2023-12-21 07:43:53,915][INFO] correct2 31
[2023-12-21 07:43:59,373][INFO] correct3 7
[2023-12-21 07:44:03,745][INFO] correct1 5
[2023-12-21 07:44:08,259][INFO] correct2 30
[2023-12-21 07:44:12,638][INFO] correct3 13
[2023-12-21 07:44:17,058][INFO] correct1 7
[2023-12-21 07:44:21,590][INFO] correct2 31
[2023-12-21 07:44:26,057][INFO] correct3 9
