[2023-12-21 05:16:43,189][INFO] 
===== FNN_small-0.1-200-small-2023-12-21-05-16-43 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_small
  no_repair: False
  repair_number: 200
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.1
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5c6a982a60>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 200
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5cbaac58b0>
===== end of FNN_small-0.1-200-small-2023-12-21-05-16-43 configuration =====

[2023-12-21 05:16:43,190][INFO] ===== start repair ======
[2023-12-21 05:16:43,190][INFO] For pgd attack net
[2023-12-21 05:16:43,594][INFO] --big patch network: --- PatchNet ---
Name: small patch network 199
--- End of PatchNet ---
[2023-12-21 05:16:44,178][INFO] --load the trainset and testset as testing set
[2023-12-21 05:16:44,186][INFO] --evaluate the original net on testset
[2023-12-21 05:16:44,186][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 05:16:44,187][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 05:16:44,335][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 05:16:48,243][INFO] --epoch 164 loss 0.020893771667033434
[2023-12-21 05:16:48,266][INFO] --epoch 165 loss 0.02096530352719128
[2023-12-21 05:16:48,292][INFO] --epoch 166 loss 0.021379878628067672
[2023-12-21 05:16:48,315][INFO] --epoch 167 loss 0.022840571124106646
[2023-12-21 05:16:48,338][INFO] --epoch 168 loss 0.025328689254820347
[2023-12-21 05:16:48,362][INFO] --epoch 169 loss 0.021953395917080343
[2023-12-21 05:16:48,386][INFO] --epoch 170 loss 0.02365356357768178
[2023-12-21 05:16:48,410][INFO] --epoch 171 loss 0.020293182926252484
[2023-12-21 05:16:48,432][INFO] --epoch 172 loss 0.02359647408593446
[2023-12-21 05:16:48,455][INFO] --epoch 173 loss 0.02129159402102232
[2023-12-21 05:16:48,478][INFO] --epoch 174 loss 0.021950962487608194
[2023-12-21 05:16:48,501][INFO] --epoch 175 loss 0.019457280752249062
[2023-12-21 05:16:48,524][INFO] --epoch 176 loss 0.021279781009070575
[2023-12-21 05:16:48,549][INFO] --epoch 177 loss 0.017806754214689136
[2023-12-21 05:16:48,572][INFO] --epoch 178 loss 0.020175263984128833
[2023-12-21 05:16:48,595][INFO] --epoch 179 loss 0.06646903278306127
[2023-12-21 05:16:48,620][INFO] --epoch 180 loss 0.025687003857456148
[2023-12-21 05:16:48,643][INFO] --epoch 181 loss 0.023648825124837458
[2023-12-21 05:16:48,666][INFO] --epoch 182 loss 0.04682991607114673
[2023-12-21 05:16:48,690][INFO] --epoch 183 loss 0.02629346284084022
[2023-12-21 05:16:48,714][INFO] --epoch 184 loss 0.029668016475625336
[2023-12-21 05:16:48,737][INFO] --epoch 185 loss 0.03568335832096636
[2023-12-21 05:16:48,761][INFO] --epoch 186 loss 0.04917046846821904
[2023-12-21 05:16:48,785][INFO] --epoch 187 loss 0.019443154335021973
[2023-12-21 05:16:48,808][INFO] --epoch 188 loss 0.055912725860252976
[2023-12-21 05:16:48,831][INFO] --epoch 189 loss 0.02430719113908708
[2023-12-21 05:16:48,854][INFO] --epoch 190 loss 0.027429089357610792
[2023-12-21 05:16:48,878][INFO] --epoch 191 loss 0.040348863578401506
