[2023-12-21 11:54:54,069][INFO] 
===== FNN_big-0.05-1000-small-2023-12-21-11-54-54 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_big
  no_repair: False
  repair_number: 1000
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.05
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5c6a982940>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 1000
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5c6a9823a0>
===== end of FNN_big-0.05-1000-small-2023-12-21-11-54-54 configuration =====

[2023-12-21 11:54:54,069][INFO] ===== start repair ======
[2023-12-21 11:54:54,069][INFO] For pgd attack net
[2023-12-21 11:54:55,661][INFO] --big patch network: --- PatchNet ---
Name: small patch network 999
--- End of PatchNet ---
[2023-12-21 11:54:57,708][INFO] --load the trainset and testset as testing set
[2023-12-21 11:54:57,723][INFO] --evaluate the original net on testset
[2023-12-21 11:54:57,724][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 11:54:57,724][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 11:54:58,335][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 11:55:17,690][INFO] --epoch 150 loss 0.0021077814635646064
[2023-12-21 11:55:17,821][INFO] --epoch 151 loss 0.0021077760902699083
[2023-12-21 11:55:17,957][INFO] --epoch 152 loss 0.0021079846592328977
[2023-12-21 11:55:18,086][INFO] --epoch 153 loss 0.0021064851487608395
[2023-12-21 11:55:18,223][INFO] --epoch 154 loss 0.0021040559131506598
[2023-12-21 11:55:18,362][INFO] --epoch 155 loss 0.002117038792130188
[2023-12-21 11:55:18,509][INFO] --epoch 156 loss 0.0021140577606274745
[2023-12-21 11:55:18,656][INFO] --epoch 157 loss 0.0021172200114961013
[2023-12-21 11:55:18,786][INFO] --epoch 158 loss 0.002094914307599538
[2023-12-21 11:55:18,917][INFO] --epoch 159 loss 0.002104213122584042
[2023-12-21 11:55:19,059][INFO] --epoch 160 loss 0.002086457912446349
[2023-12-21 11:55:19,180][INFO] --epoch 161 loss 0.0021047201233159287
[2023-12-21 11:55:19,316][INFO] --epoch 162 loss 0.0020845165010541676
[2023-12-21 11:55:19,443][INFO] --epoch 163 loss 0.002159652530826861
[2023-12-21 11:55:19,586][INFO] --epoch 164 loss 0.002178226698379149
[2023-12-21 11:55:19,743][INFO] --epoch 165 loss 0.0020935591637680773
[2023-12-21 11:55:19,895][INFO] --epoch 166 loss 0.0020184602257359075
[2023-12-21 11:55:20,034][INFO] --epoch 167 loss 0.0020713411777251167
[2023-12-21 11:55:20,184][INFO] --epoch 168 loss 0.002041363772150362
[2023-12-21 11:55:20,333][INFO] --epoch 169 loss 0.0020112487891310593
[2023-12-21 11:55:20,476][INFO] --epoch 170 loss 0.0019755274417548206
[2023-12-21 11:55:20,632][INFO] --epoch 171 loss 0.0018573762747109868
[2023-12-21 11:55:20,790][INFO] --epoch 172 loss 0.001772616525340709
[2023-12-21 11:55:20,972][INFO] --epoch 173 loss 0.0016989982104860246
[2023-12-21 11:55:21,132][INFO] --epoch 174 loss 0.0017434829089324922
[2023-12-21 11:55:21,292][INFO] --epoch 175 loss 0.001649323925812496
[2023-12-21 11:55:21,439][INFO] --epoch 176 loss 0.0019164566372637637
[2023-12-21 11:55:21,593][INFO] --epoch 177 loss 0.0029549476130341645
[2023-12-21 11:55:21,760][INFO] --epoch 178 loss 0.0025515823170280784
[2023-12-21 11:55:21,898][INFO] --epoch 179 loss 0.0017819892809711746
[2023-12-21 11:55:22,019][INFO] --epoch 180 loss 0.008496595274664287
[2023-12-21 11:55:22,135][INFO] --epoch 181 loss 0.003908509735265397
[2023-12-21 11:55:22,256][INFO] --epoch 182 loss 0.01777080190659035
[2023-12-21 11:55:22,375][INFO] --epoch 183 loss 0.008540060165614705
[2023-12-21 11:55:22,495][INFO] --epoch 184 loss 0.011336657276842743
[2023-12-21 11:55:22,612][INFO] --epoch 185 loss 0.0034173393534729255
[2023-12-21 11:55:22,745][INFO] --epoch 186 loss 0.018078385951957897
[2023-12-21 11:55:22,873][INFO] --epoch 187 loss 0.04784906706699985
[2023-12-21 11:55:22,994][INFO] --epoch 188 loss 0.13359239732963032
[2023-12-21 11:55:23,113][INFO] --epoch 189 loss 0.0194185591317364
[2023-12-21 11:55:23,235][INFO] --epoch 190 loss 0.042005045209953094
[2023-12-21 11:55:23,368][INFO] --epoch 191 loss 0.007036630852962844
[2023-12-21 11:55:23,488][INFO] --epoch 192 loss 0.0077331944965408185
[2023-12-21 11:55:23,630][INFO] --epoch 193 loss 0.0024556589902203995
[2023-12-21 11:55:23,753][INFO] --epoch 194 loss 0.055784489021243645
[2023-12-21 11:55:23,874][INFO] --epoch 195 loss 0.0077837978344177826
[2023-12-21 11:55:23,995][INFO] --epoch 196 loss 0.015341063638334162
[2023-12-21 11:55:24,112][INFO] --epoch 197 loss 0.006569620985828806
[2023-12-21 11:55:24,231][INFO] --epoch 198 loss 0.038318653401802294
[2023-12-21 11:55:24,354][INFO] --epoch 199 loss 0.007839954965311336
[2023-12-21 11:55:24,354][INFO] --adv training finished
[2023-12-21 11:55:24,382][INFO] --evaluate the adv training net on testset
[2023-12-21 11:55:24,384][INFO] --For testset, out of 10000 items, ratio 0.9757
[2023-12-21 11:55:24,384][INFO] --test the defense against autoattack
[2023-12-21 11:55:27,980][INFO] correct1 21
[2023-12-21 11:55:32,273][INFO] correct2 32
[2023-12-21 11:55:35,706][INFO] correct3 14
[2023-12-21 11:55:39,664][INFO] correct1 18
[2023-12-21 11:55:44,058][INFO] correct2 32
[2023-12-21 11:55:47,621][INFO] correct3 6
[2023-12-21 11:55:51,094][INFO] correct1 22
[2023-12-21 11:55:55,291][INFO] correct2 32
[2023-12-21 11:55:58,891][INFO] correct3 16
[2023-12-21 11:56:02,399][INFO] correct1 23
[2023-12-21 11:56:06,511][INFO] correct2 30
[2023-12-21 11:56:09,954][INFO] correct3 11
[2023-12-21 11:56:13,381][INFO] correct1 25
[2023-12-21 11:56:17,748][INFO] correct2 31
[2023-12-21 11:56:21,431][INFO] correct3 17
[2023-12-21 11:56:24,886][INFO] correct1 22
[2023-12-21 11:56:29,682][INFO] correct2 32
[2023-12-21 11:56:33,825][INFO] correct3 7
[2023-12-21 11:56:38,087][INFO] correct1 20
[2023-12-21 11:56:42,293][INFO] correct2 31
[2023-12-21 11:56:45,718][INFO] correct3 11
[2023-12-21 11:56:49,163][INFO] correct1 15
[2023-12-21 11:56:53,372][INFO] correct2 30
[2023-12-21 11:56:57,123][INFO] correct3 8
[2023-12-21 11:57:00,878][INFO] correct1 20
[2023-12-21 11:57:05,301][INFO] correct2 30
[2023-12-21 11:57:08,809][INFO] correct3 9
[2023-12-21 11:57:12,487][INFO] correct1 17
[2023-12-21 11:57:16,752][INFO] correct2 31
[2023-12-21 11:57:20,289][INFO] correct3 13
[2023-12-21 11:57:24,022][INFO] correct1 20
[2023-12-21 11:57:28,642][INFO] correct2 31
[2023-12-21 11:57:32,144][INFO] correct3 7
[2023-12-21 11:57:35,508][INFO] correct1 16
[2023-12-21 11:57:39,764][INFO] correct2 31
[2023-12-21 11:57:43,326][INFO] correct3 9
[2023-12-21 11:57:47,120][INFO] correct1 19
[2023-12-21 11:57:51,626][INFO] correct2 31
[2023-12-21 11:57:55,258][INFO] correct3 7
[2023-12-21 11:57:58,796][INFO] correct1 17
[2023-12-21 11:58:02,959][INFO] correct2 31
[2023-12-21 11:58:06,453][INFO] correct3 3
[2023-12-21 11:58:10,144][INFO] correct1 20
[2023-12-21 11:58:14,585][INFO] correct2 30
[2023-12-21 11:58:19,114][INFO] correct3 10
[2023-12-21 11:58:23,578][INFO] correct1 18
[2023-12-21 11:58:28,726][INFO] correct2 31
[2023-12-21 11:58:32,447][INFO] correct3 11
[2023-12-21 11:58:36,124][INFO] correct1 19
[2023-12-21 11:58:40,707][INFO] correct2 32
[2023-12-21 11:58:44,271][INFO] correct3 10
[2023-12-21 11:58:47,916][INFO] correct1 21
[2023-12-21 11:58:52,424][INFO] correct2 32
[2023-12-21 11:58:56,174][INFO] correct3 8
[2023-12-21 11:58:59,871][INFO] correct1 22
[2023-12-21 11:59:04,244][INFO] correct2 30
[2023-12-21 11:59:08,035][INFO] correct3 14
[2023-12-21 11:59:11,781][INFO] correct1 21
[2023-12-21 11:59:16,448][INFO] correct2 30
[2023-12-21 11:59:20,475][INFO] correct3 9
[2023-12-21 11:59:24,070][INFO] correct1 18
[2023-12-21 11:59:28,516][INFO] correct2 30
[2023-12-21 11:59:32,050][INFO] correct3 10
[2023-12-21 11:59:35,732][INFO] correct1 20
[2023-12-21 11:59:40,125][INFO] correct2 31
[2023-12-21 11:59:43,664][INFO] correct3 9
[2023-12-21 11:59:47,147][INFO] correct1 19
[2023-12-21 11:59:51,461][INFO] correct2 29
[2023-12-21 11:59:55,059][INFO] correct3 13
[2023-12-21 11:59:58,526][INFO] correct1 23
[2023-12-21 12:00:02,853][INFO] correct2 31
[2023-12-21 12:00:06,407][INFO] correct3 10
[2023-12-21 12:00:10,775][INFO] correct1 19
