For net: FNN_small, radius: 0.1, repair_number: 50, big_label:0.8945
For net: FNN_small, radius: 0.1, repair_number: 100, big_label:0.9471
For net: FNN_small, radius: 0.1, repair_number: 200, big_label:0.9486
For net: FNN_small, radius: 0.1, repair_number: 500, big_label:0.9629
For net: FNN_small, radius: 0.1, repair_number: 1000, big_label:0.9627
For net: FNN_small, radius: 0.05, repair_number: 500, P_big:0.9656
For net: FNN_small, radius: 0.3, repair_number: 50, big_label:0.4465
For net: FNN_small, radius: 0.3, repair_number: 100, big_label:0.858
For net: FNN_small, radius: 0.3, repair_number: 200, big_label:0.8593
For net: FNN_small, radius: 0.3, repair_number: 500, big_label:0.8951
For net: FNN_small, radius: 0.3, repair_number: 1000, big_label:0.9418
For net: FNN_small, radius: 0.05, repair_number: 1000, P_big:0.9658
For net: FNN_small, radius: 0.1, repair_number: 50, P_big:0.9626
For net: FNN_big, radius: 0.05, repair_number: 50, big_label:0.9679
For net: FNN_small, radius: 0.1, repair_number: 100, P_big:0.9631
For net: FNN_small, radius: 0.1, repair_number: 200, P_big:0.9512
For net: FNN_small, radius: 0.1, repair_number: 500, P_big:0.9524
For net: FNN_small, radius: 0.1, repair_number: 1000, P_big:0.9652
For net: FNN_big, radius: 0.05, repair_number: 100, big_label:0.9681
For net: FNN_big, radius: 0.05, repair_number: 200, big_label:0.9679
For net: FNN_big, radius: 0.05, repair_number: 500, big_label:0.9718
For net: FNN_big, radius: 0.05, repair_number: 1000, big_label:0.9718
For net: FNN_big, radius: 0.1, repair_number: 50, big_label:0.9682
For net: FNN_big, radius: 0.1, repair_number: 100, big_label:0.9682
For net: FNN_big, radius: 0.1, repair_number: 200, big_label:0.9688
For net: FNN_big, radius: 0.1, repair_number: 500, big_label:0.968
For net: FNN_big, radius: 0.1, repair_number: 1000, big_label:0.9718
For net: FNN_big, radius: 0.3, repair_number: 50, big_label:0.8909
For net: FNN_big, radius: 0.3, repair_number: 100, big_label:0.8907
For net: FNN_big, radius: 0.3, repair_number: 200, big_label:0.8935
For net: FNN_big, radius: 0.3, repair_number: 500, big_label:0.9593
For net: FNN_big, radius: 0.3, repair_number: 1000, big_label:0.971
For net: FNN_small, radius: 0.3, repair_number: 100, P_big:0.9615
For net: FNN_small, radius: 0.3, repair_number: 200, P_big:0.912
For net: FNN_small, radius: 0.3, repair_number: 500, P_big:0.9209
For net: FNN_big, radius: 0.05, repair_number: 50, P_big:0.9704
For net: FNN_small, radius: 0.3, repair_number: 1000, P_big:0.9654
For net: FNN_big, radius: 0.05, repair_number: 100, P_big:0.9712
For net: FNN_big, radius: 0.05, repair_number: 200, P_big:0.971
For net: FNN_big, radius: 0.05, repair_number: 500, P_big:0.9718
For net: FNN_small, radius: 0.3, repair_number: 50, P_big:0.7993
For net: FNN_small, radius: 0.05, repair_number: 50, reassure:0.0994
For net: FNN_big, radius: 0.05, repair_number: 1000, P_big:0.9718
For net: FNN_big, radius: 0.1, repair_number: 50, P_big:0.9713
For net: FNN_big, radius: 0.1, repair_number: 100, P_big:0.9715
For net: FNN_big, radius: 0.1, repair_number: 200, P_big:0.9708
For net: FNN_big, radius: 0.1, repair_number: 500, P_big:0.9718
For net: FNN_big, radius: 0.1, repair_number: 1000, P_big:0.9718
For net: FNN_big, radius: 0.3, repair_number: 50, P_big:0.9609
For net: FNN_big, radius: 0.3, repair_number: 100, P_big:0.9677
For net: FNN_big, radius: 0.3, repair_number: 200, P_big:0.9716
For net: FNN_big, radius: 0.3, repair_number: 500, P_big:0.9717
For net: FNN_big, radius: 0.3, repair_number: 1000, P_big:0.9716
For net: FNN_small, radius: 0.1, repair_number: 50, reassure:0.0002
For net: FNN_small, radius: 0.3, repair_number: 50, reassure:0.0
For net: FNN_small, radius: 0.05, repair_number: 100, reassure:0.0992
For net: FNN_small, radius: 0.1, repair_number: 100, reassure:0.0002
For net: FNN_small, radius: 0.3, repair_number: 100, reassure:0.0
For net: CNN_small, radius: 0.05, repair_number: 500, prdnn:0.0429, care:0.7064
For net: CNN_small, radius: 0.1, repair_number: 500, prdnn:0.0, care:0.0815
For net: CNN_small, radius: 0.3, repair_number: 500, prdnn:0.0, care:0.0
For net: CNN_small, radius: 0.05, repair_number: 1000, prdnn:0.0084, care:0.7067
For net: CNN_small, radius: 0.1, repair_number: 1000, prdnn:0.0, care:0.0828
For net: CNN_small, radius: 0.3, repair_number: 1000, prdnn:0.0, care:0.0
For net: FNN_small, radius: 0.05, repair_number: 50, small:0.9131
For net: FNN_small, radius: 0.05, repair_number: 100, small:0.9658
For net: FNN_big, radius: 0.05, repair_number: 50, small:0.9718
For net: CNN_small, radius: 0.05, repair_number: 50, small:0.8905
For net: FNN_small, radius: 0.05, repair_number: 200, small:0.9658
For net: CNN_small, radius: 0.05, repair_number: 100, small:0.8897
For net: FNN_big, radius: 0.05, repair_number: 100, small:0.9718
For net: CNN_small, radius: 0.05, repair_number: 500, small:0.9306
For net: FNN_big, radius: 0.05, repair_number: 200, small:0.9718
For net: FNN_big, radius: 0.1, repair_number: 50, small:0.9718
For net: FNN_big, radius: 0.1, repair_number: 100, small:0.9718
For net: FNN_small, radius: 0.05, repair_number: 500, small:0.9658
For net: FNN_small, radius: 0.3, repair_number: 50, small:0.9652
For net: FNN_small, radius: 0.3, repair_number: 100, small:0.9652
